,school,accept_rate,pct25,pct75
0,Stanford University,4.3,1440,1570
1,Harvard College,4.7,1460,1580
2,Princeton University,5.5,1440,1570
3,Columbia University,5.5,1450,1560
4,Yale University,6.1,1460,1570
5,California Institute of Technology,6.4,1530,1560
6,Massachusetts Institute of Technology,6.7,1500,1570
7,Brown University,7.1,1440,1570
8,University of Chicago,7.3,1490,1570
9,Pomona College,7.4,1390,1540
10,University of Pennsylvania,7.7,1450,1560
11,Dartmouth College,7.9,1440,1560
12,Bowdoin College,8.8,1330,1520
13,Duke University,8.9,1450,1570
14,Swarthmore College,8.9,1380,1540
15,Northwestern University,9.1,1440,1550
16,Vanderbilt University,9.1,1460,1560
17,Claremont McKenna College,10.3,1360,1510
18,Johns Hopkins University,10.6,1470,1560
19,Cornell University,10.9,1400,1560
20,Rice University,11.1,1450,1560
21,Amherst College,11.3,1410,1550
22,Barnard College,11.8,1340,1520
23,Bates College,12.1,1270,1480
24,University of California—​Los Angeles,12.3,1290,1510
25,Tulane University,12.9,1360,1520
26,University of Southern California,13.0,1350,1530
27,Williams College,13.0,1410,1550
28,Colby College,13.0,1350,1510
29,Pitzer College,13.3,1340,1490
30,Colorado College,13.5,1300,1480
31,Harvey Mudd College,13.7,1490,1570
32,Georgetown University,14.5,1370,1530
33,University of California—​Berkeley,14.8,1300,1530
34,Tufts University,15.0,1390,1540
35,Washington University in St. Louis,15.0,1470,1570
36,Middlebury College,15.4,1360,1530
37,Carnegie Mellon University,15.4,1460,1560
38,University of Notre Dame,15.8,1400,1550
39,The Cooper Union,16.0,1283,1510
40,New York University,16.2,1370,1510
41,Haverford College,16.3,1380,1540
42,Wesleyan University,16.5,1320,1510
43,Hamilton College,16.5,1370,1520
44,Northeastern University,18.1,1390,1540
45,Davidson College,18.1,1310,1485
46,Emory University,18.5,1350,1520
47,Carleton College,19.0,1360,1540
48,Georgia Institute of Technology,20.6,1300,1510
49,Washington and Lee University,21.2,1348,1490
50,Wellesley College,21.6,1360,1530
51,Boston University,22.1,1330,1500
52,Colgate University,22.6,1330,1500
53,University of North Carolina—​Chapel Hill,22.6,1300,1490
54,University of Michigan—​Ann Arbor,22.9,1340,1530
55,Vassar College,23.7,1370,1530
56,Rhode Island School of Design,23.9,1180,1440
57,University of Virginia,23.9,1340,1500
58,Grinnell College,24.4,1370,1530
59,Babson College,24.0,1270,1450
60,University of California—​Irvine,26.5,1180,1440
61,University of Miami,27.1,1280,1420
62,Boston College,27.2,1370,1490
63,Villanova University,28.2,1320,1470
64,University of Richmond,28.3,1290,1460
65,California State Polytechnic University—​San Luis Obispo,28.4,1250,1420
66,Trinity University,28.8,1290,1450
67,Case Western Reserve University,29.3,1350,1520
68,University of Rochester,29.5,1300,1500
69,University of California—​Santa Barbara,29.6,1260,1460
70,Wake Forest University,29.6,1320,1490
71,Skidmore College,30.0,1220,1400
72,University of California—​San Diego,30.2,1250,1470
73,Franklin and Marshall College,30.4,1250,1460
74,Brandeis University,31.1,1280,1500
75,Lafayette College,31.5,1250,1440
76,American University,31.5,1220,1380
77,University of Texas—​Austin,31.8,1240,1470
78,Scripps College,32.0,1333,1490
79,Lehigh University,32.1,1280,1450
80,Macalester College,32.3,1320,1510
